Time(s) Column1 Column2 Y
1.62 0.344751 0.101511 0.344751
1.63 0.345766 0.0991384 0.345766
1.64 0.346757 0.0967826 0.346757
1.65 0.347725 0.0944443 0.347725
1.66 0.348669 0.0921236 0.348669
1.67 0.349591 0.0898211 0.349591
1.68 0.350489 0.0875369 0.350489
1.69 0.351364 0.0852715 0.351364
1.7 0.352217 0.0830252 0.352217
1.71 0.353047 0.0807982 0.353047
1.72 0.353855 0.0785908 0.353855
1.73 0.354641 0.0764033 0.354641
1.74 0.355405 0.074236 0.355405
1.75 0.356148 0.0720891 0.356148
1.76 0.356868 0.0699629 0.356868
1.77 0.357568 0.0678576 0.357568
1.78 0.358247 0.0657734 0.358247
1.79 0.358904 0.0637106 0.358904
1.8 0.359541 0.0616692 0.359541
1.81 0.360158 0.0596496 0.360158
1.82 0.360755 0.0576518 0.360755
1.83 0.361331 0.0556762 0.361331
1.84 0.361888 0.0537227 0.361888
1.85 0.362425 0.0517916 0.362425
1.86 0.362943 0.049883 0.362943
1.87 0.363442 0.0479971 0.363442
1.88 0.363922 0.0461339 0.363922
1.89 0.364383 0.0442935 0.364383
1.9 0.364826 0.0424762 0.364826
1.91 0.365251 0.0406819 0.365251
1.92 0.365658 0.0389107 0.365658
1.93 0.366047 0.0371628 0.366047
1.94 0.366418 0.0354381 0.366418
1.95 0.366773 0.0337368 0.366773
1.96 0.36711 0.0320589 0.36711
1.97 0.367431 0.0304044 0.367431
1.98 0.367735 0.0287734 0.367735
1.99 0.368023 0.0271658 0.368023
2 0.368294 0.0255819 0.368294
2.01 0.36855 0.0240214 0.36855
2.02 0.36879 0.0224845 0.36879
2.03 0.369015 0.0209711 0.369015
2.04 0.369225 0.0194812 0.369225
2.05 0.36942 0.0180148 0.36942
2.06 0.3696 0.0165719 0.3696
2.07 0.369766 0.0151525 0.369766
2.08 0.369917 0.0137565 0.369917
2.09 0.370055 0.0123838 0.370055
2.1 0.370178 0.0110345 0.370178
2.11 0.370289 0.00970848 0.370289
2.12 0.370386 0.00840565 0.370386
2.13 0.37047 0.00712596 0.37047
2.14 0.370541 0.00586934 0.370541
2.15 0.3706 0.00463572 0.3706
2.16 0.370646 0.00342501 0.370646
2.17 0.37068 0.00223712 0.37068
2.18 0.370703 0.00107196 0.370703
2.19 0.370714 -7.05611e-05 0.370714
2.2 0.370713 -0.00119056 0.370713
2.21 0.370701 -0.00228813 0.370701
2.22 0.370678 -0.0033634 0.370678
2.23 0.370644 -0.00441647 0.370644
2.24 0.3706 -0.00544748 0.3706
2.25 0.370546 -0.00645654 0.370546
2.26 0.370481 -0.00744378 0.370481
2.27 0.370407 -0.00840934 0.370407
2.28 0.370323 -0.00935336 0.370323
2.29 0.370229 -0.010276 0.370229
2.3 0.370126 -0.0111773 0.370126
2.31 0.370015 -0.0120576 0.370015
2.32 0.369894 -0.0129169 0.369894
2.33 0.369765 -0.0137554 0.369765
2.34 0.369627 -0.0145732 0.369627
2.35 0.369482 -0.0153705 0.369482
2.36 0.369328 -0.0161476 0.369328
2.37 0.369166 -0.0169045 0.369166
2.38 0.368997 -0.0176414 0.368997
2.39 0.368821 -0.0183585 0.368821
2.4 0.368637 -0.0190559 0.368637
2.41 0.368447 -0.0197339 0.368447
2.42 0.36825 -0.0203927 0.36825
2.43 0.368046 -0.0210323 0.368046
2.44 0.367835 -0.021653 0.367835
2.45 0.367619 -0.022255 0.367619
2.46 0.367396 -0.0228385 0.367396
2.47 0.367168 -0.0234036 0.367168
2.48 0.366934 -0.0239505 0.366934
2.49 0.366694 -0.0244796 0.366694
2.5 0.366449 -0.0249908 0.366449
2.51 0.3662 -0.0254845 0.3662
2.52 0.365945 -0.0259608 0.365945
2.53 0.365685 -0.0264199 0.365685
2.54 0.365421 -0.026862 0.365421
2.55 0.365152 -0.0272874 0.365152
2.56 0.364879 -0.0276962 0.364879
2.57 0.364602 -0.0280887 0.364602
2.58 0.364322 -0.028465 0.364322
2.59 0.364037 -0.0288253 0.364037
2.6 0.363749 -0.0291699 0.363749
2.61 0.363457 -0.029499 0.363457
2.62 0.363162 -0.0298127 0.363162
2.63 0.362864 -0.0301113 0.362864
2.64 0.362563 -0.030395 0.362563
2.65 0.362259 -0.030664 0.362259
2.66 0.361952 -0.0309185 0.361952
2.67 0.361643 -0.0311587 0.361643
2.68 0.361331 -0.0313848 0.361331
2.69 0.361018 -0.031597 0.361018
2.7 0.360702 -0.0317956 0.360702
2.71 0.360384 -0.0319808 0.360384
2.72 0.360064 -0.0321527 0.360064
2.73 0.359742 -0.0323115 0.359742
2.74 0.359419 -0.0324575 0.359419
2.75 0.359095 -0.032591 0.359095
2.76 0.358769 -0.032712 0.358769
2.77 0.358442 -0.0328208 0.358442
2.78 0.358113 -0.0329176 0.358113
2.79 0.357784 -0.0330027 0.357784
2.8 0.357454 -0.0330762 0.357454
2.81 0.357123 -0.0331383 0.357123
2.82 0.356792 -0.0331892 0.356792
2.83 0.35646 -0.0332292 0.35646
2.84 0.356128 -0.0332584 0.356128
2.85 0.355795 -0.0332771 0.355795
2.86 0.355462 -0.0332854 0.355462
2.87 0.35513 -0.0332835 0.35513
2.88 0.354797 -0.0332717 0.354797
2.89 0.354464 -0.0332502 0.354464
2.9 0.354132 -0.0332191 0.354132
2.91 0.353799 -0.0331787 0.353799
2.92 0.353468 -0.0331291 0.353468
2.93 0.353136 -0.0330705 0.353136
2.94 0.352806 -0.0330032 0.352806
2.95 0.352476 -0.0329273 0.352476
2.96 0.352146 -0.032843 0.352146
2.97 0.351818 -0.0327506 0.351818
2.98 0.35149 -0.0326501 0.35149
2.99 0.351164 -0.0325418 0.351164
3 0.350838 -0.0324259 0.350838
3.01 0.350514 -0.0323025 0.350514
3.02 0.350191 -0.0321719 0.350191
3.03 0.349869 -0.0320342 0.349869
3.04 0.349549 -0.0318896 0.349549
3.05 0.34923 -0.0317383 0.34923
3.06 0.348913 -0.0315804 0.348913
3.07 0.348597 -0.0314162 0.348597
3.08 0.348283 -0.0312458 0.348283
3.09 0.34797 -0.0310693 0.34797
3.1 0.34766 -0.030887 0.34766
3.11 0.347351 -0.0306991 0.347351
3.12 0.347044 -0.0305056 0.347044
3.13 0.346739 -0.0303068 0.346739
3.14 0.346436 -0.0301029 0.346436
3.15 0.346135 -0.0298939 0.346135
3.16 0.345836 -0.02968 0.345836
3.17 0.345539 -0.0294615 0.345539
3.18 0.345244 -0.0292384 0.345244
3.19 0.344952 -0.029011 0.344952
3.2 0.344662 -0.0287793 0.344662
3.21 0.344374 -0.0285436 0.344374
3.22 0.344089 -0.028304 0.344089
3.23 0.343806 -0.0280605 0.343806
3.24 0.343525 -0.0278135 0.343525
3.25 0.343247 -0.027563 0.343247
3.26 0.342971 -0.0273091 0.342971
3.27 0.342698 -0.0270521 0.342698
3.28 0.342428 -0.026792 0.342428
3.29 0.34216 -0.0265289 0.34216
3.3 0.341894 -0.0262632 0.341894
3.31 0.341632 -0.0259947 0.341632
3.32 0.341372 -0.0257238 0.341372
3.33 0.341115 -0.0254505 0.341115
3.34 0.34086 -0.0251749 0.34086
3.35 0.340608 -0.0248972 0.340608
3.36 0.340359 -0.0246175 0.340359
3.37 0.340113 -0.0243359 0.340113
3.38 0.33987 -0.0240526 0.33987
3.39 0.339629 -0.0237676 0.339629
3.4 0.339392 -0.0234812 0.339392
3.41 0.339157 -0.0231933 0.339157
3.42 0.338925 -0.0229041 0.338925
3.43 0.338696 -0.0226138 0.338696
3.44 0.33847 -0.0223224 0.33847
3.45 0.338246 -0.02203 0.338246
3.46 0.338026 -0.0217368 0.338026
3.47 0.337809 -0.0214429 0.337809
3.48 0.337594 -0.0211483 0.337594
3.49 0.337383 -0.0208531 0.337383
3.5 0.337174 -0.0205575 0.337174
3.51 0.336969 -0.0202616 0.336969
3.52 0.336766 -0.0199655 0.336766
3.53 0.336566 -0.0196691 0.336566
3.54 0.33637 -0.0193727 0.33637
3.55 0.336176 -0.0190764 0.336176
3.56 0.335985 -0.0187801 0.335985
3.57 0.335797 -0.0184841 0.335797
3.58 0.335613 -0.0181883 0.335613
3.59 0.335431 -0.0178929 0.335431
3.6 0.335252 -0.017598 0.335252
3.61 0.335076 -0.0173036 0.335076
3.62 0.334903 -0.0170098 0.334903
3.63 0.334733 -0.0167167 0.334733
3.64 0.334566 -0.0164243 0.334566
3.65 0.334401 -0.0161328 0.334401
3.66 0.33424 -0.0158422 0.33424
3.67 0.334082 -0.0155525 0.334082
3.68 0.333926 -0.0152639 0.333926
3.69 0.333773 -0.0149764 0.333773
3.7 0.333624 -0.0146901 0.333624
3.71 0.333477 -0.014405 0.333477
3.72 0.333333 -0.0141212 0.333333
3.73 0.333191 -0.0138388 0.333191
3.74 0.333053 -0.0135577 0.333053
3.75 0.332917 -0.0132782 0.332917
3.76 0.332785 -0.0130001 0.332785
3.77 0.332655 -0.0127237 0.332655
3.78 0.332527 -0.0124488 0.332527
3.79 0.332403 -0.0121757 0.332403
3.8 0.332281 -0.0119043 0.332281
3.81 0.332162 -0.0116346 0.332162
3.82 0.332046 -0.0113668 0.332046
3.83 0.331932 -0.0111008 0.331932
3.84 0.331821 -0.0108368 0.331821
3.85 0.331713 -0.0105747 0.331713
3.86 0.331607 -0.0103146 0.331607
3.87 0.331504 -0.0100565 0.331504
3.88 0.331403 -0.00980047 0.331403
3.89 0.331305 -0.00954656 0.331305
3.9 0.33121 -0.00929479 0.33121
3.91 0.331117 -0.00904519 0.331117
3.92 0.331026 -0.00879779 0.331026
3.93 0.330938 -0.00855263 0.330938
3.94 0.330853 -0.00830973 0.330853
3.95 0.33077 -0.00806913 0.33077
3.96 0.330689 -0.00783084 0.330689
3.97 0.330611 -0.0075949 0.330611
3.98 0.330535 -0.00736132 0.330535
3.99 0.330461 -0.00713015 0.330461
4 0.33039 -0.00690138 0.33039
4.01 0.330321 -0.00667505 0.330321
4.02 0.330254 -0.00645118 0.330254
4.03 0.33019 -0.00622978 0.33019
4.04 0.330127 -0.00601088 0.330127
4.05 0.330067 -0.00579448 0.330067
4.06 0.330009 -0.00558061 0.330009
4.07 0.329954 -0.00536928 0.329954
4.08 0.3299 -0.0051605 0.3299
4.09 0.329848 -0.00495429 0.329848
4.1 0.329799 -0.00475065 0.329799
4.11 0.329751 -0.0045496 0.329751
4.12 0.329706 -0.00435114 0.329706
4.13 0.329662 -0.00415529 0.329662
4.14 0.329621 -0.00396205 0.329621
4.15 0.329581 -0.00377143 0.329581
4.16 0.329543 -0.00358343 0.329543
4.17 0.329507 -0.00339806 0.329507
4.18 0.329473 -0.00321532 0.329473
4.19 0.329441 -0.00303522 0.329441
4.2 0.329411 -0.00285776 0.329411
4.21 0.329382 -0.00268293 0.329382
4.22 0.329356 -0.00251075 0.329356
4.23 0.32933 -0.0023412 0.32933
4.24 0.329307 -0.00217429 0.329307
